Year,1,2,5,10,20,50,100,500to10K,Total
2000,7.7,0.6,1.8,1.5,4.9,1.1,3.8,0.0005,21.3
2001,7.8,0.6,1.8,1.5,5.0,1.1,4.2,0.0005,22.1
2002,8.0,0.7,1.9,1.5,5.2,1.2,4.6,0.0005,22.9
2003,8.2,0.7,1.9,1.5,5.4,1.2,4.9,0.0005,23.8
2004,8.3,0.7,2.0,1.5,5.4,1.2,5.2,0.0005,24.2
2005,8.8,0.7,2.1,1.6,5.8,1.2,5.4,0.0005,25.6
2006,9.0,0.8,2.1,1.6,6.0,1.3,5.6,0.0005,26.4
2007,9.3,0.8,2.2,1.6,6.1,1.3,5.7,0.0005,26.9
2008,9.5,0.8,2.2,1.6,6.3,1.3,6.3,0.0005,27.9
2009,9.6,0.9,2.2,1.6,6.4,1.3,6.6,0.0005,28.5
2010,9.7,0.9,2.3,1.7,6.5,1.3,7.0,0.0005,29.5
2011,10.0,0.9,2.4,1.7,7.1,1.4,7.8,0.0005,31.3
2012,10.3,1.0,2.4,1.8,7.4,1.5,8.6,0.0005,33.0
2013,10.6,1.0,2.5,1.8,7.7,1.5,9.2,0.0005,34.5
2014,11.0,1.1,2.6,1.9,8.1,1.5,10.1,0.0005,36.4
2015,11.4,1.1,2.7,1.9,8.6,1.6,10.8,0.0005,38.1
2016,11.7,1.2,2.8,1.9,8.9,1.7,11.5,0.0004,39.8
2017,12.1,1.2,3.0,2.0,9.2,1.7,12.5,0.0004,41.6
2018,12.4,1.3,3.1,2.0,9.4,1.8,13.4,0.0004,43.4
2019,12.7,1.3,3.2,2.1,9.5,1.8,14.2,0.0004,44.9
2020,13.1,1.4,3.2,2.3,11.7,2.3,16.4,0.0004,50.3
