Year,BRAZIL_REAL-US,CANADA_DOLLAR-US,CHINA_YUAN-US,DENMARK_KRONE-US,HONGKONG_DOLLAR-US,INDIA_RUPEE-US,JAPAN_YEN-US,MALAYSIA_RINGGIT-US,MEXICO_PESO-US,NORWAY_KRONE-US,SOUTHAFRICA_RAND-US,SINGAPORE_DOLLAR-US,SOUTHKOREA_WON-US,SRILANKA_RUPEE-US,SWEDEN_KRONA-US,SWITZERLAND_FRANC-US,TAIWAN_DOLLAR-US,THAILAND_BAHT-US,VENEZUELA_BOLIVAR-US,AUSTRALIA_DOLLAR-US,EMUCOUNTRIES_EURO-US,NEWZEALAND_DOLLAR-US,UNITEDKINGDOM_POUND-US
2000,1.8309750000000002,1.4855166666666664,8.278416666666667,8.093774999999999,7.792366666666666,45.000933333333336,107.82130833333332,3.7999999999999994,9.459000000000001,8.810858333333334,6.94695,1.724891666666667,1131.3796833333333,76.98278333333333,9.175116666666666,1.6898916666666668,31.268941666666674,40.22184166666667,0.680475,1.7194933226342637,1.082964072666889,2.1892616715012863,0.6596958801992281
2001,2.353066666666667,1.5490166666666667,8.277008333333333,8.329524999999999,7.799683333333333,47.22762499999999,121.51926666666667,3.800008333333333,9.340833333333334,8.993266666666665,8.625541666666667,1.79255,1291.672025,89.617125,10.34365,1.6880166666666667,33.825325,44.50626666666667,0.7243499999999999,1.934485426876451,1.1166945840312676,2.380055137944029,0.6944203326273393
2002,2.9234750000000003,1.5705916666666668,8.27705,7.887083333333334,7.799599999999999,48.62203333333333,125.26687499999998,3.800016666666666,9.664816666666667,7.985616666666668,10.518791666666667,1.7908999999999997,1250.490625,95.75568333333332,9.722991666666667,1.5570916666666668,34.54400833333333,43.0315,1.1613166666666666,1.8393341610337057,1.057855902395162,2.153084293250081,0.6656017039403619
2003,3.079283333333333,1.4011666666666667,8.277183333333332,6.579325000000001,7.787491666666667,46.594675,115.91664166666665,3.7999999999999994,10.796758333333335,7.079058333333333,7.556875000000001,1.7427333333333335,1191.9780083333333,96.54179166666665,8.080125,1.3451583333333332,34.404808333333335,41.555099999999996,1.6137916666666667,1.5330173614216183,0.8836198961746624,1.7173524150268333,0.6117112111372222
2004,2.926666666666666,1.301575,8.2768,5.988558333333334,7.788816666666666,45.27628333333333,108.15692500000002,3.7999999999999994,11.289983333333332,6.741399999999999,6.448,1.6902249999999999,1145.8962166666668,101.25455833333335,7.346883333333333,1.242816666666667,33.38009999999999,40.273691666666664,1.883933333333333,1.3571897125019794,0.8039393025826551,1.504947514955416,0.5456852214799893
2005,2.4341916666666665,1.2114833333333335,8.194,5.996474999999999,7.777458333333333,44.011275000000005,110.13839166666666,3.787058333333333,10.895108333333333,6.443425,6.3598833333333324,1.6641583333333336,1024.1947166666666,100.38440833333334,7.473266666666667,1.2462083333333334,32.14680833333333,40.24645833333333,2.104716666666667,1.3115327446008567,0.8034387177118065,1.419077126841844,0.5494983537945151
2006,2.1738,1.134375,7.972033333333333,5.943766666666666,7.768125000000002,45.17219166666667,116.34975833333333,3.6663416666666664,10.900616666666666,6.413483333333333,6.764849999999999,1.5884166666666666,954.2451499999999,103.94203333333333,7.3731,1.2535166666666666,32.505975,37.87629166666667,2.144591666666667,1.3269345600106155,0.7961889090884965,1.538579890760828,0.542613225293011
2007,1.9468500000000002,1.0741833333333335,7.605933333333334,5.4421833333333325,7.8017249999999985,41.19918333333334,117.76548333333331,3.435658333333334,10.928316666666667,5.8579083333333335,7.0479666666666665,1.5065916666666663,929.0594666666666,110.58255000000001,6.756183333333333,1.199925,32.85100833333333,32.212141666666675,2.1446,1.192333296900927,0.729447808009337,1.358111319857851,0.4995878400319737
2008,1.835358333333333,1.0667666666666666,6.9482333333333335,5.096308333333333,7.786008333333332,43.41142500000001,103.37935,3.331149999999999,11.155724999999999,5.646425000000001,8.25955,1.4149833333333335,1100.4816500000002,108.30844166666667,6.595783333333333,1.0829,31.53758333333333,32.96960833333333,2.1446,1.1733416770963705,0.680063926009045,1.3999556680705112,0.5399033572990435
2009,1.9991166666666669,1.141441666666667,6.830733333333332,5.3588499999999994,7.751433333333335,48.31947499999999,93.59955000000001,3.5225166666666663,13.50394166666667,6.291249999999999,8.423283333333332,1.4542083333333335,1274.9818666666667,114.89819999999999,7.65285,1.08605,33.02274166666667,34.310916666666664,2.1444666666666667,1.2623074981065385,0.7177419837192195,1.5738324130785475,0.6388993893186671
